[0.477s] Invoking command in '/ros2_ws/build/oradar_lidar': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/ros2_ws/install/peripherals:/ros2_ws/install/driver:/opt/ros/humble /usr/bin/cmake --build /ros2_ws/build/oradar_lidar -- -j4 -l4
[1.168s] [ 60%] Built target oradar_sdk
[1.169s] [ 70%] Built target non-blocking_test
[1.169s] [ 80%] Built target blocking_test
[1.169s] [ 90%] Built target oradar_scan
[1.169s] [100%] Built target blocking_c_api_test
[1.209s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/include/core/base/v8stdint.h
[1.209s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/include/core/common/ChannelDevice.h
[1.210s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/include/core/math/angles.h
[1.210s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/include/core/network/ActiveSocket.h
[1.211s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/include/core/network/PassiveSocket.h
[1.211s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/include/core/network/SimpleSocket.h
[1.212s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/include/core/network/StatTimer.h
[1.212s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/include/core/serial/common.h
[1.213s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/include/core/serial/serial.h
[1.214s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/include/core/serial/impl/unix/lock.h
[1.215s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/include/core/serial/impl/unix/unix.h
[1.219s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/include/core/serial/impl/unix/unix_serial.h
[1.219s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/include/src/ord_lidar_c_api_driver.h
[1.220s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/include/src/ord_lidar_driver.h
[1.220s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/include/src/ordlidar_protocol.h
[1.220s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/include/src/filters/FullScanFilter.h
[1.220s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/lib/liboradar_sdk.a
[1.221s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/lib/oradar_lidar/oradar_scan
[1.222s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/share/oradar_lidar//launch/ms200_scan.launch
[1.225s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/share/oradar_lidar//launch/ms200_scan.launch.py
[1.226s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/share/oradar_lidar//launch/ms200_scan_view.launch
[1.226s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/share/oradar_lidar//launch/ms200_scan_view.launch.py
[1.226s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/share/oradar_lidar//rviz2/oradar_scan.rviz
[1.229s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/share/ament_index/resource_index/package_run_dependencies/oradar_lidar
[1.229s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/share/ament_index/resource_index/parent_prefix_path/oradar_lidar
[1.230s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/share/oradar_lidar/environment/ament_prefix_path.sh
[1.235s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/share/oradar_lidar/environment/ament_prefix_path.dsv
[1.235s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/share/oradar_lidar/environment/path.sh
[1.235s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/share/oradar_lidar/environment/path.dsv
[1.235s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/share/oradar_lidar/local_setup.bash
[1.235s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/share/oradar_lidar/local_setup.sh
[1.235s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/share/oradar_lidar/local_setup.zsh
[1.242s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/share/oradar_lidar/local_setup.dsv
[1.242s] -- Symlinking: /ros2_ws/install/oradar_lidar/share/oradar_lidar/package.dsv
[1.270s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/share/ament_index/resource_index/packages/oradar_lidar
[1.270s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/share/oradar_lidar/cmake/oradar_lidarConfig.cmake
[1.270s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/share/oradar_lidar/cmake/oradar_lidarConfig-version.cmake
[1.270s] -- Up-to-date symlink: /ros2_ws/install/oradar_lidar/share/oradar_lidar/package.xml
[1.280s] Invoked command in '/ros2_ws/build/oradar_lidar' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/ros2_ws/install/peripherals:/ros2_ws/install/driver:/opt/ros/humble /usr/bin/cmake --install /ros2_ws/build/oradar_lidar
